Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Other,FamilySize,IsAlone,AgeBin_Teen,AgeBin_Adult,AgeBin_MidAge,AgeBin_Senior,FareBin
0,3,1,22.0,1,0,-0.8797405693934278,0,1,0,1,0,0,2,0,0,1,0,0,0
1,1,0,38.0,1,0,1.3612199269233833,0,0,0,0,1,0,2,0,0,0,1,0,3
1,3,0,26.0,0,0,-0.798539974052802,0,1,1,0,0,0,1,1,0,1,0,0,1
1,1,0,35.0,1,0,1.0620380556287106,0,1,0,0,1,0,2,0,0,1,0,0,3
0,3,1,35.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,26.0,0,0,-0.7386163019798164,1,0,0,1,0,0,1,1,0,1,0,0,1
0,1,1,54.0,0,0,1.038145562232327,0,1,0,1,0,0,1,1,0,0,1,0,3
0,3,1,2.0,3,1,0.1364991380659541,0,1,0,0,0,0,5,0,0,0,0,0,2
1,3,0,27.0,0,2,-0.48145578049281335,0,1,0,0,1,0,3,0,0,1,0,0,1
1,2,0,14.0,1,0,0.4894379098126231,0,0,0,0,1,0,2,0,1,0,0,0,2
1,3,0,4.0,1,1,-0.09156500424402261,0,1,1,0,0,0,3,0,0,0,0,0,2
1,1,0,58.0,0,0,0.36526093570402607,0,1,1,0,0,0,1,1,0,0,1,0,2
0,3,1,20.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,39.0,1,5,0.5286989276421437,0,1,0,1,0,0,7,0,0,0,1,0,3
0,3,0,14.0,0,0,-0.806763380796033,0,1,1,0,0,0,1,1,1,0,0,0,0
1,2,0,55.0,0,0,-0.13322852057373055,0,1,0,0,1,0,1,1,0,0,1,0,2
0,3,1,2.0,4,1,0.457519539438721,1,0,0,0,0,0,6,0,0,0,0,0,2
1,2,1,31.0,0,0,-0.3336984726090336,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,0,31.0,1,0,-0.01838583697289204,0,1,0,0,1,0,2,0,0,1,0,0,2
1,3,0,31.0,0,0,-0.8828741679067217,0,0,0,0,1,0,1,1,0,1,0,0,0
0,2,1,35.0,0,0,0.3444394801955362,0,1,0,1,0,0,1,1,0,1,0,0,2
1,2,1,34.0,0,0,-0.3336984726090336,0,1,0,1,0,0,1,1,0,1,0,0,1
1,3,0,15.0,0,0,-0.7865550587251358,1,0,1,0,0,0,1,1,1,0,0,0,1
1,1,1,28.0,0,0,0.6557188297748954,0,1,0,1,0,0,1,1,0,1,0,0,3
0,3,0,8.0,3,1,0.1364991380659541,0,1,1,0,0,0,5,0,0,0,0,0,2
1,3,0,38.0,1,5,0.5322916934007406,0,1,0,0,1,0,7,0,0,0,1,0,3
0,3,1,26.0,0,0,-0.8828741679067217,0,0,0,1,0,0,1,1,0,1,0,0,0
0,1,1,19.0,3,2,2.6987007794454887,0,1,0,1,0,0,6,0,0,1,0,0,3
1,3,0,18.0,0,0,-0.8038521494426432,1,0,1,0,0,0,1,1,1,0,0,0,0
0,3,1,26.0,0,0,-0.8019236166026618,0,1,0,1,0,0,1,1,0,1,0,0,0
0,1,1,40.0,0,0,0.4082334475616762,0,0,0,0,0,1,1,1,0,0,1,0,2
1,1,0,40.0,1,0,2.097794920021772,0,0,0,0,1,0,2,0,0,0,1,0,3
1,3,0,18.0,0,0,-0.8189865811572414,1,0,1,0,0,0,1,1,1,0,0,0,0
0,2,1,66.0,0,0,-0.5368057694182641,0,1,0,1,0,0,1,1,0,0,0,1,1
0,1,1,28.0,1,0,1.5060857797883969,0,0,0,1,0,0,2,0,0,1,0,0,3
0,1,1,42.0,1,0,1.0408277503255374,0,1,0,1,0,0,2,0,0,0,1,0,3
1,3,1,26.0,0,0,-0.8823470582632056,0,0,0,1,0,0,1,1,0,1,0,0,0
0,3,1,21.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,0,18.0,2,0,-0.01838583697289204,0,1,1,0,0,0,3,0,1,0,0,0,2
1,3,0,14.0,1,0,-0.47227211715402734,0,0,1,0,0,0,2,0,1,0,0,0,1
0,3,0,40.0,1,0,-0.6331972544104215,0,1,0,0,1,0,2,0,0,0,1,0,1
0,2,0,27.0,1,0,0.1329851701219792,0,1,0,0,1,0,2,0,0,1,0,0,2
0,3,1,26.0,0,0,-0.8019236166026618,0,0,0,1,0,0,1,1,0,1,0,0,0
1,2,0,3.0,1,2,0.8147822510349934,0,0,1,0,0,0,4,0,0,0,0,0,3
1,3,0,19.0,0,0,-0.8038521494426432,1,0,1,0,0,0,1,1,0,1,0,0,0
0,3,1,26.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,26.0,1,0,-0.16405229962564447,1,0,0,1,0,0,2,0,0,1,0,0,2
1,3,0,18.0,0,0,-0.8189865811572414,1,0,1,0,0,0,1,1,1,0,0,0,0
0,3,1,26.0,2,0,0.16437971416667366,0,0,0,1,0,0,3,0,0,1,0,0,2
0,3,0,18.0,1,0,-0.029312075627065143,0,1,0,0,1,0,2,0,1,0,0,0,2
0,3,1,7.0,4,1,0.7678594338107121,0,1,0,0,0,0,6,0,0,0,0,0,3
0,3,1,21.0,0,0,-0.8131032608653792,0,1,0,1,0,0,1,1,0,1,0,0,0
1,1,0,49.0,1,0,1.4362199751817062,0,0,0,0,1,0,2,0,0,0,1,0,3
1,2,0,29.0,1,0,0.3444394801955362,0,1,0,0,1,0,2,0,0,1,0,0,2
0,1,1,65.0,0,1,1.2189504454470093,0,0,0,1,0,0,2,0,0,0,0,1,3
1,1,1,40.0,0,0,0.6557188297748954,0,1,0,1,0,0,1,1,0,0,1,0,3
1,2,0,21.0,0,0,-0.5368057694182641,0,1,1,0,0,0,1,1,0,1,0,0,1
0,3,1,28.5,0,0,-0.8823470582632056,0,0,0,1,0,0,1,1,0,1,0,0,0
1,2,0,5.0,1,2,0.40928266156909443,0,1,1,0,0,0,4,0,0,0,0,0,2
0,3,1,11.0,5,2,0.936361092700485,0,1,0,0,0,0,8,0,0,0,0,0,3
0,3,1,22.0,0,0,-0.8823470582632056,0,0,0,1,0,0,1,1,0,1,0,0,0
1,1,0,38.0,0,0,1.4787785499834798,0,1,1,0,0,0,1,1,0,0,1,0,3
0,1,1,45.0,1,0,1.5221510751129648,0,1,0,1,0,0,2,0,0,0,1,0,3
0,3,1,4.0,3,2,0.4146557174979072,0,1,0,0,0,0,6,0,0,0,0,0,2
0,1,1,40.0,0,0,0.4082334475616762,0,0,0,1,0,0,1,1,0,0,1,0,2
1,3,1,4.0,1,1,-0.1800831698720664,0,0,0,0,0,0,3,0,0,0,0,0,2
1,2,0,29.0,0,0,-0.5368057694182641,0,1,0,0,1,0,1,1,0,1,0,0,1
0,3,1,19.0,0,0,-0.7718965778779472,0,1,0,1,0,0,1,1,0,1,0,0,1
1,3,0,17.0,4,2,-0.798539974052802,0,1,1,0,0,0,7,0,1,0,0,0,1
0,3,1,26.0,2,0,-0.7165619336211217,0,1,0,1,0,0,3,0,0,1,0,0,1
